LOAN_ID,ORIG_CHN,SELLER,orig_rt,orig_amt,orig_trm,oltv,ocltv,num_bo,dti,CSCORE_B,FTHB_FLG,purpose,PROP_TYP,NUM_UNIT,occ_stat,state,zip_3,mi_pct,CSCORE_C,relo_flg,MI_TYPE,AQSN_DTE,ORIG_DTE,FRST_DTE,LAST_RT,LAST_UPB,msa,FCC_COST,PP_COST,AR_COST,IE_COST,TAX_COST,NS_PROCS,CE_PROCS,RMW_PROCS,O_PROCS,repch_flag,LAST_ACTIVITY_DATE,LPI_DTE,FCC_DTE,DISP_DTE,SERVICER,F30_DTE,F60_DTE,F90_DTE,F120_DTE,F180_DTE,FCE_DTE,F180_UPB,FCE_UPB,F30_UPB,F60_UPB,F90_UPB,MOD_FLAG,FMOD_DTE,FMOD_UPB,MODIR_COST,MODFB_COST,MODFG_COST,MODTRM_CHNG,MODUPB_CHNG,z_num_periods_120,F120_UPB,CSCORE_MN,ORIG_VAL,LAST_DTE,LAST_STAT,COMPLT_FLG,INT_COST,PFG_COST,NET_LOSS,NET_SEV,MODTOT_COST
000135176879,R,"Movement Mortgage, LLC",6.38,536000,360,90,90,1,37,786,Y,P,PU,1,P,NC,280,25,NULL,N,BPMI,2023-03-01,2022-12-01,2023-02-01,6.38,528850.02,16740,,,,,,,,,,,,,,,"Movement Mortgage, LLC",,,,,,,,,,,,,,,,,,,,,,786,595555.56,,,,,,,,
000135176880,B,Nationstar Mortgage LLC,6.62,338000,360,66,66,1,39,732,N,R,SF,1,P,FL,333,NULL,NULL,N,None,2023-03-01,2022-12-01,2023-02-01,6.62,334446.93,33100,,,,,,,,,,,,,,,"Lakeview Loan Servicing, LLC",,,,,,,,,,,,,,,,,,,,,,732,512121.21,,,,,,,,
000135176881,C,"United Wholesale Mortgage, LLC",6,175000,360,52,52,3,45,779,N,C,SF,1,P,CO,810,NULL,766,N,None,2023-03-01,2022-12-01,2023-02-01,6,172142.07,39380,,,,,,,,,,,,,,,"United Wholesale Mortgage, LLC",,,,,,,,,,,,,,,,,,,,,,766,336538.46,,,,,,,,
000135176882,R,Other,6.25,125000,360,34,34,1,41,793,N,C,SF,1,P,UT,841,NULL,NULL,N,None,2023-03-01,2023-01-01,2023-03-01,6.25,123282.08,41620,,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,,,,,,,,793,367647.06,,,,,,,,
000135176883,R,Other,7.38,160000,360,56,56,1,48,818,N,P,PU,1,P,NM,871,NULL,NULL,N,None,2023-03-01,2022-12-01,2023-02-01,7.38,157788.67,10740,,,,,,,,,,,,,,,"Lakeview Loan Servicing, LLC",,,,,,,,,,,,,,,,,,,,,,818,285714.29,,,,,,,,
000135176884,R,"Movement Mortgage, LLC",6.88,387000,360,90,90,1,49,755,Y,P,PU,1,P,FL,347,25,NULL,N,BPMI,2023-03-01,2022-12-01,2023-02-01,6.88,377043.13,36740,,,,,,,,,,,,,,,"Movement Mortgage, LLC",,,,,,,,,,,,,,,,,,,,,,755,430000,,,,,,,,
000135176885,R,"Rocket Mortgage, LLC",5.5,656000,360,74,74,1,38,749,N,C,PU,1,P,WA,982,NULL,NULL,N,None,2023-03-01,2022-09-01,2022-11-01,5.5,636893.34,42660,,,,,,,,,,,,,,,"Rocket Mortgage, LLC",,,,,,,,,,,,,,,,,,,,,,749,886486.49,,,,,,,,
000135176886,C,Other,7.38,128000,360,95,95,1,44,722,N,P,SF,1,P,IA,515,30,NULL,N,BPMI,2023-03-01,2022-12-01,2023-02-01,7.38,125128.7,00000,,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,,,,,,,,722,134736.84,,,,,,,,
000135176887,R,Other,6.88,234000,360,75,75,2,38,708,N,P,SF,1,I,ID,836,NULL,780,N,None,2023-03-01,2023-01-01,2023-03-01,6.88,231320.67,14260,,,,,,,,,,,,,,,"Lakeview Loan Servicing, LLC",,,,,,,,,,,,,,,,,,,,,,708,312000,,,,,,,,
000135176888,R,Other,6.5,506000,360,75,75,1,48,755,N,P,PU,1,P,TN,371,NULL,NULL,N,None,2023-03-01,2022-12-01,2023-02-01,6.5,499538.25,34980,,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,,,,,,,,755,674666.67,,,,,,,,
000135176889,B,"Rocket Mortgage, LLC",5.99,470000,360,80,80,2,38,758,Y,P,PU,1,P,VA,201,NULL,781,N,None,2023-03-01,2022-12-01,2023-02-01,5.99,462717.11,47900,,,,,,,,,,,,,,,"Lakeview Loan Servicing, LLC",,,,,,,,,,,,,,,,,,,,,,758,587500,,,,,,,,
000135176890,R,Other,6.88,210000,360,92,92,2,43,744,Y,P,SF,1,P,MI,490,25,739,N,BPMI,2023-03-01,2022-11-01,2023-01-01,6.88,197951.14,28020,,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,,,,,,,,739,228260.87,,,,,,,,
000135176891,R,"Rocket Mortgage, LLC",6.5,200000,360,69,69,1,21,760,N,C,SF,1,P,NY,125,NULL,NULL,N,None,2023-03-01,2022-12-01,2023-02-01,6.5,197356.59,39100,,,,,,,,,,,,,,,"Rocket Mortgage, LLC",,,,,,,,,,,,,,,,,,,,,,760,289855.07,,,,,,,,
000135176892,R,Other,5.88,440000,360,64,64,2,38,796,N,P,PU,1,P,ID,836,NULL,807,N,None,2023-03-01,2023-01-01,2023-03-01,5.88,430575.78,14260,,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,,,,,,,,796,687500,,,,,,,,
000135176893,B,"United Wholesale Mortgage, LLC",7.62,511000,360,71,71,1,48,706,N,P,SF,1,I,NY,109,NULL,NULL,N,None,2023-03-01,2022-12-01,2023-02-01,7.62,505726.43,35620,,,,,,,,,,,,,,,"United Wholesale Mortgage, LLC",,,,,,,,,,,,,,,,,,,,,,706,719718.31,,,,,,,,
